t,x,y,vx,vy,parameters
0.0,0.0,0.09999999999999998,-27.387769797535384,0.0,1.0
0.0001,-0.002738596807711945,0.09998026318233184,-27.38236528335711,-0.39468831838464047,0.9
0.0002,-0.005476113359112681,0.09992108153218625,-27.366171130033575,-0.788800881658645,4.0
0.00030000000000000003,-0.008211473269242955,0.09982254127713529,-27.33924531080383,-1.181765550644827,1.976905055545263e-08
0.0004,-0.01094360787332009,0.09968478548326838,-27.30168381811085,-1.5730173637531246,0.0
0.0005,-0.013671468263647025,0.09950799125995628,-27.253626265420465,-1.9620009901605113,0.0
0.0006000000000000001,-0.01639401136706748,0.09929241967673125,-27.195238013526854,-2.3481771015822317,0.0
0.0007,-0.019110205811283608,0.09903840058339076,-27.126714669058757,-2.73102368947171,0.0
0.0008,-0.02181904617978513,0.09874630049762517,-27.048289464591722,-3.110037459062024,0.0
0.0009000000000000001,-0.024519555066377378,0.09841652536831481,-26.96022892953987,-3.4847370548988787,0.0
0.001,-0.027210784994927916,0.09804952224294443,-26.862828807815895,-3.8546657923507177,0.0
0.0011,-0.029891820200642558,0.09764577993208842,-26.756410213816775,-4.219393921308026,0.0
0.0012000000000000001,-0.032561778269181524,0.09720582876392055,-26.641316018292706,-4.578520448283881,0.0
0.0013000000000000002,-0.03521981162992667,0.09673023952170147,-26.51790745565667,-4.931674543127809,0.0
0.0014,-0.03786510889971045,0.09621962165719769,-26.38656094429216,-5.278516556564995,0.0
0.0015,-0.040496896073317606,0.09567462087298542,-26.24766511141654,-5.618738674772922,0.0
0.0016,-0.04311443755707016,0.09509591616659288,-26.101618014057486,-5.95206523720748,0.0
0.0017000000000000001,-0.045717037041806734,0.09448421642943448,-25.948824547699996,-6.278252743890578,0.0
0.0018000000000000002,-0.04830403821156696,0.0938402566934905,-25.789694034161446,-6.59708957837139,0.0
0.0019,-0.05087482528429164,0.09316479411868565,-25.624637980252206,-6.908395472573195,0.0
0.002,-0.05342882338084972,0.0924586038139202,-25.454067998779195,-7.212020739737943,0.0
0.0021000000000000003,-0.055965498718702635,0.09172247458470692,-25.278393883449944,-7.507845301680561,0.0
0.0022,-0.05848435862651702,0.0909572047003677,-25.098021829234632,-7.795777536565069,0.0
0.0023,-0.06098495137603651,0.090163597773743,-24.913352789743495,-8.075752973414575,0.0
0.0024000000000000002,-0.06346686582752353,0.08934245884636784,-24.724780963177178,-8.347732859567175,0.0
0.0025,-0.06592973088508161,0.08849459077206791,-24.53269239840745,-8.611702627289825,0.0
0.0026000000000000003,-0.06837321475816957,0.08762079099192902,-24.337463712745762,-8.867670285762285,0.0
0.0027,-0.07079702402561774,0.08672184879359376,-24.139460912957176,-9.115664764643105,0.0
0.0028,-0.07320090249845757,0.08579854314783861,-23.93903831107703,-9.355734235429784,0.0
0.0029000000000000002,-0.07558462987787509,0.08485164121538506,-23.73653752658795,-9.587944436825133,0.0
0.003,-0.07794802020459923,0.08388189761689846,-23.532286566514568,-9.81237703032188,0.0
0.0031000000000000003,-0.08029092009603565,0.08289005455912776,-23.326598974993523,-10.029128012217605,0.0
0.0032,-0.08261320676745715,0.08187684291013998,-23.11977304387612,-10.238306208272034,0.0
0.0033,-0.08491478583356109,0.0808429843166027,-22.912091075921182,-10.440031877218773,0.0
0.0034000000000000002,-0.08719558888670498,0.0797891944560681,-22.70381869213561,-10.634435449343506,0.0
0.0035,-0.08945557084813084,0.07871618751721232,-22.49520417482,-10.821656426340752,0.0
0.0036000000000000003,-0.09169470708848938,0.07762468200098324,-22.286477837876937,-11.001842468661202,0.0
0.0037,-0.0939129903139743,0.07651540793561051,-22.077851415939342,-11.175148696561717,0.0
0.0038,-0.09611042721437828,0.07538911559843113,-21.869517463876385,-11.34173723107002,0.0
0.0039000000000000003,-0.09828703486938076,0.07424658583748434,-21.661648758234435,-11.501777001076178,0.0
0.004,-0.10044284330792243,0.07308860969613457,-21.45440215811617,-11.655441610629664,0.0
0.0041,-0.1025779568422368,0.07191566186844228,-21.247964292845126,-11.80288938319772,0.0
0.004200000000000001,-0.10469247564948288,0.07072828566870029,-21.04249722983977,-11.944290989565653,0.0
0.0043,-0.10678650281867519,0.06952706899306421,-20.83814169924616,-12.079820904465917,0.0
0.0044,-0.10886015516428557,0.06831258474654414,-20.63502604231607,-12.209652342243112,0.0
0.0045000000000000005,-0.1109135620221876,0.0670853905966597,-20.43326696151116,-12.333956958268406,0.0
0.0046,-0.11294686410956845,0.06584602878649393,-20.23297023635395,-12.452904572666053,0.0
0.0047,-0.11496021244701274,0.06459502600449289,-20.03423140592273,-12.566662915719082,0.0
0.0048000000000000004,-0.11695376734096348,0.06333289330835776,-19.837136418887354,-12.675397394321065,0.0
0.0049,-0.11892769742476512,0.06206012610037545,-19.64176225198309,-12.779270878841062,0.0
0.005,-0.12088217875649354,0.06077720415153499,-19.448177497819433,-12.878443509768687,0.0
0.0051,-0.12281739397177795,0.05948459167177582,-19.25644292292113,-12.973072523506294,0.0
0.005200000000000001,-0.12473353148981976,0.05818273742371481,-19.06661199689829,-13.063312096675336,0.0
0.0053,-0.12663078477081333,0.05687207487719853,-18.878731393642706,-13.149313208303836,0.0
0.0054,-0.12850935162297347,0.05555302240202738,-18.692841465447508,-13.231223519262027,0.0
0.0055000000000000005,-0.13036943355737474,0.05422598349619819,-18.508976690947065,-13.309187268313122,0.0
0.0056,-0.13221123518880745,0.052891347047011955,-18.32716609777433,-13.383345184146238,0.0
0.0057,-0.1340349636808555,0.05154948762239306,-18.14743366083254,-13.453834412758482,0.0
